Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Weight Unit,Variant Tax Code,Cost per item,Status
the-bagel-tee,The Bagel Tee,"<p>Getting bageled never looked this good.</p><p>Our signature tee for the 6-0 Club. Premium heavyweight cotton with a minimalist bagel logo that says everything without saying anything. For those who show up, get demolished, and come back with a smile.</p><ul><li>100% premium heavyweight cotton (6.5 oz)</li><li>Screen-printed logo, water-based ink</li><li>Pre-shrunk, true to size</li><li>Ribbed crew neck</li><li>Made for losing in style</li></ul><p>Limited quantities. No restocks. Once they're gone, they're gone.</p><p><strong>Fits:</strong> True to size. If you're between sizes, size up for a relaxed fit.</p>",Bagel Bros,T-Shirt,"drop-001, apparel, tee, core",TRUE,Size,S,BB-TEE-BLK-S,136,shopify,20,deny,manual,45.00,65.00,TRUE,TRUE,,,,FALSE,The Bagel Tee | Bagel Bros,Premium heavyweight tee for the 6-0 Club. Limited Drop 001.,lb,,12.00,active
the-bagel-tee,The Bagel Tee,,Bagel Bros,T-Shirt,"drop-001, apparel, tee, core",TRUE,Size,M,BB-TEE-BLK-M,136,shopify,30,deny,manual,45.00,65.00,TRUE,TRUE,,,,FALSE,,,,lb,,12.00,active
the-bagel-tee,The Bagel Tee,,Bagel Bros,T-Shirt,"drop-001, apparel, tee, core",TRUE,Size,L,BB-TEE-BLK-L,136,shopify,30,deny,manual,45.00,65.00,TRUE,TRUE,,,,FALSE,,,,lb,,12.00,active
the-bagel-tee,The Bagel Tee,,Bagel Bros,T-Shirt,"drop-001, apparel, tee, core",TRUE,Size,XL,BB-TEE-BLK-XL,136,shopify,20,deny,manual,45.00,65.00,TRUE,TRUE,,,,FALSE,,,,lb,,12.00,active
the-6-0-hoodie,The 6-0 Hoodie,"<p>Warmth for the eternally defeated.</p><p>Premium heavyweight hoodie for post-match recovery. Oversized fit, brutalist logo placement, maximum comfort for maximum losses. Wear this to the court and they'll know you're part of the club.</p><ul><li>450 GSM heavyweight French terry cotton</li><li>Oversized, boxy fit</li><li>Embroidered chest logo + back graphic</li><li>Double-lined hood with tonal drawstrings</li><li>Kangaroo pocket</li><li>Ribbed cuffs and hem</li></ul><p>For those who embrace the bagel. Limited quantities, no restocks.</p><p><strong>Fits:</strong> Oversized. Size down for regular fit, true to size for relaxed.</p>",Bagel Bros,Hoodie,"drop-001, apparel, hoodie, core",TRUE,Size,S,BB-HOOD-BLK-S,544,shopify,15,deny,manual,95.00,135.00,TRUE,TRUE,,,,FALSE,The 6-0 Hoodie | Bagel Bros,Premium heavyweight hoodie for the 6-0 Club. Drop 001.,lb,,28.00,active
the-6-0-hoodie,The 6-0 Hoodie,,Bagel Bros,Hoodie,"drop-001, apparel, hoodie, core",TRUE,Size,M,BB-HOOD-BLK-M,544,shopify,25,deny,manual,95.00,135.00,TRUE,TRUE,,,,FALSE,,,,lb,,28.00,active
the-6-0-hoodie,The 6-0 Hoodie,,Bagel Bros,Hoodie,"drop-001, apparel, hoodie, core",TRUE,Size,L,BB-HOOD-BLK-L,544,shopify,25,deny,manual,95.00,135.00,TRUE,TRUE,,,,FALSE,,,,lb,,28.00,active
the-6-0-hoodie,The 6-0 Hoodie,,Bagel Bros,Hoodie,"drop-001, apparel, hoodie, core",TRUE,Size,XL,BB-HOOD-BLK-XL,544,shopify,15,deny,manual,95.00,135.00,TRUE,TRUE,,,,FALSE,,,,lb,,28.00,active
bageled-cap,Bageled Cap,"<p>Top off your look. Bottom out your scoreline.</p><p>Six-panel unstructured cap with embroidered bagel logo. Perfect for blocking out the sun (and the scoreboard). Premium cotton twill, adjustable strap, certified losing aesthetics.</p><ul><li>100% premium cotton twill</li><li>Six-panel unstructured crown</li><li>Embroidered 3D logo</li><li>Adjustable metal buckle closure</li><li>Pre-curved brim</li><li>Tonal undervisor</li></ul><p>One size fits all defeats.</p><p><strong>Fits:</strong> Adjustable, one size fits most (21.5&quot; - 24&quot;)</p>",Bagel Bros,Hat,"drop-001, accessories, headwear, cap",TRUE,Size,One Size,BB-CAP-BLK-OS,91,shopify,50,deny,manual,38.00,55.00,TRUE,TRUE,,,,FALSE,Bageled Cap | Bagel Bros,Unstructured cap for the 6-0 Club. Limited Drop 001.,lb,,8.00,active
court-joggers,Court Joggers,"<p>Lose in comfort. Recover in style.</p><p>Premium athletic joggers built for the warm-up, the game, and the post-match debrief where you figure out what went wrong (again). Tapered fit, zippered pockets, subtle branding.</p><ul><li>320 GSM cotton/poly blend (80/20)</li><li>Tapered athletic fit</li><li>Zippered side pockets</li><li>Elastic waistband with drawstring</li><li>Ribbed ankle cuffs</li><li>Embroidered logo on thigh</li><li>Pre-shrunk</li></ul><p>Perfect for court or couch. Either way, you're losing.</p><p><strong>Fits:</strong> True to size, tapered fit. Size up for relaxed.</p>",Bagel Bros,Bottoms,"drop-001, apparel, bottoms, joggers",TRUE,Size,S,BB-JOG-BLK-S,363,shopify,15,deny,manual,78.00,110.00,TRUE,TRUE,,,,FALSE,Court Joggers | Bagel Bros,Premium athletic joggers for the 6-0 Club. Drop 001.,lb,,22.00,active
court-joggers,Court Joggers,,Bagel Bros,Bottoms,"drop-001, apparel, bottoms, joggers",TRUE,Size,M,BB-JOG-BLK-M,363,shopify,25,deny,manual,78.00,110.00,TRUE,TRUE,,,,FALSE,,,,lb,,22.00,active
